"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"7031165","15095461110007351000000000U2","ABARORES",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","SEBASTIAN LERDO","CALLE","NINGUNO","CALLE","PROFESORA MARIA DOLORES TREJO","CALLE","ÁNGEL ZUPPA NÚÑEZ","8",,,,"0",,"MANZANA","BARIO SAN MARTIN",,,,"54608","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0231","004",,,,"Fijo","19.72228911","-99.22611368","2019-11"
"7031871","15095461110008131000000000U7","ABARROTERA SIN NOMBRE",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","FRANCISCO RUIZ CASTAÑEDA","PRIVADA","FRANCISCO RUIZ CASTAÑEDA","PRIVADA","SEGUNDA FRANCISCO RUIZ CASTAÑEDA","CALLE","VISTA HERMOSA",,"SN",,,,,"COLONIA","VISTA HERMOSA",,,,"54607","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0231","016",,,,"Fijo","19.72531238","-99.23145502","2019-11"
"7031463","15095461110007581000000000U4","ABARROTES ALDAMA",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","ALDAMA","AVENIDA","INSURGENTES","CALLE","JOSE MARIA PINO SUAREZ","AVENIDA","INSURGENTES","0","SN",,,"0",,"BARRIO","CAPULA",,,,"54608","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0104","013",,,,"Fijo","19.70865293","-99.23418029","2019-11"
"2382048","15095461110005052000000000U8","ABARROTES AMERICA",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","TERCERA DE ZAMORA","CALLE","ÁNGEL ZUPPA NUÑEZ","CALLE","ZAMORA","CALLE","SEGUNDA DE ZAMORA","27",,,,"0",,"BARRIO","SAN MARTIN",,,,"54600","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0231","001",,,,"Fijo","19.72197487","-99.22524195","2010-07"
"2063624","15095461110006691000000000U2","ABARROTES ANDI",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","PRIVADA","NINGUNO","CALLE","ACTOPAN","PRIVADA","NINGUNO","PRIVADA","NINGUNO",,"SN",,,,,"BARRIO","SANTIAG0",,,,"54660","15","MÉXICO                      ","095","Tepotzotlán","0074","Ejido de Coyotepec","0439","016",,,,"Fijo","19.78007117","-99.22523883","2010-07"
"7199413","15095461110008491000000000U5","ABARROTES ANGELITO",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","NINGUNO","PRIVADA","NINGUNO","CALLE","SAN AGUSTIN","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","BARRIO DEL TITINI",,,,"54650","15","MÉXICO                      ","095","Tepotzotlán","0026","Santiago Cuautlalpan","0301","003",,,,"Fijo","19.68613207","-99.28980743","2019-11"
"2381562","15095461110002901000000000U9","ABARROTES ARANDY",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","CALLE DEL CERRITO","CALLE","PRIVADA  DEL  CERRITO","CALLE","CUMBRES","AVENIDA","INSURGENTES","2",,,,"0",,"BARRIO","TEXCACOA",,,,"54605","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0161","002","5558767193",,,"Fijo","19.71169175","-99.21213486","2010-07"
"2473036","15095461110005681000000000U4","ABARROTES ARMANDO",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","16 DE JUNIO","PRIVADA","PRIMERO DE AGOSTO","CERRADA","16 DE JUNIO","CALLE","16 DE JULIO","19",,,,,,"BARRIO","LAS ANIMAS",,,,"54616","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0176","008",,,,"Fijo","19.73153067","-99.20381639","2014-12"
"7031661","15095461110007911000000000U3","ABARROTES BOSS",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CERRADA","JILOTEPEC","CALLE","NINGUNO","AVENIDA","LUMBRERAS","CALLE","NINGUNO",,"SN",,,,,"BARRIO","SANTA CRUZ DEL MONTE",,,,"54786","15","MÉXICO                      ","095","Tepotzotlán","0073","Santa Cruz del Monte","0462","044",,,,"Fijo","19.76685137","-99.22312788","2019-11"
"9015079","15095461110009251000000000U2","ABARROTES CHAPULIN",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","CALLE DE LA CASUARINA","AVENIDA","LUMBRERAS",,"SN",,,,,"COLONIA","SANTACRUZ DEL MONTE",,,,"54786","15","MÉXICO                      ","095","Tepotzotlán","0073","Santa Cruz del Monte","0462","058",,,,"Fijo","19.76746603","-99.22615853","2019-11"
"7200180","15095461110008891000000000U6","ABARROTES CHARLY",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","AVENIDA","SAN MATEO","AVENIDA","MORA","CALLE","CALLE DE LOS FRESNOS","CALLE","LA HIGUERA","29",,,,,,"COLONIA","SAN MATEO XOLOC",,,,"54600","15","MÉXICO                      ","095","Tepotzotlán","0021","San Mateo Xoloc","0284","001",,,,"Fijo","19.70416127","-99.24812243","2019-11"
"2498452","15095461110001011000000000U8","ABARROTES CHECOS",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","PRIVADA","NINGUNO","CALLE","MINA LOPEZ","CALLE","TOLUCA",,"SN",,,,,"BARRIO","CAPULA",,,,"54608","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0104","008","5532938836",,,"Fijo","19.71429804","-99.23055162","2010-07"
"7199769","15095461110008621000000000U7","ABARROTES DON CARLOS",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","PROLONGACION","ADOLFO LOPEZ MATEOS","CALLE","LICENCIADO BENITO JUAREZ","CALLE","ENRIQUE TREJO","CALLE","FRESNO","1",,"MERCADO PUBLICO","PLANTA BAJA","0",,"BARRIO","SAN MARTIN","MERCADO PUBLICO","MERCADO DE TEPOTZOTLAN","10","54600","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0246","011",,,,"Fijo","19.7142353","-99.2241936","2019-11"
"2382344","15095461110003451000000000U4","ABARROTES DON CLAUDIO",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","SOR JUANA INES DE LA CRUZ","CALLE","CERRADA LA PRESA","PRIVADA","NINGUNO","CALLE","CERRADA LA PRESA","8",,,,"0",,"COLONIA","RICARDO FLORES MAGON",,,,"54600","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0212","010",,,,"Fijo","19.72785932","-99.22267084","2010-07"
"7199797","15095461110008641000000000U5","ABARROTES DON TOÑO",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","BOULEVARD","LIBRAMIENTO SUR","PRIVADA","NINGUNO","CALLE","NINGUNO","PRIVADA","NINGUNO",,"SN",,,,,"BARRIO","CAPILA",,,,"54608","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0104","050",,,,"Fijo","19.70412238","-99.23481004","2019-11"
"2473263","15095461110006641000000000U7","ABARROTES DOÑA CANDE",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","TERCERA DE ZAMORA","CALLE","ÁNGEL ZUPPA NUÑEZ","CALLE","ZAMORA","CALLE","SEGUNDA DE ZAMORA","33",,,,"0",,"BARRIO","SAN MARTIN",,,,"54600","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0231","001","5558764953",,,"Fijo","19.72198597","-99.22540449","2014-12"
