ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior
2534932,15038461110000341000000000U0,ABARROTERIA OSNAYA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,VOLETAS,CALLE,NINGUNO,,SN
2534945,15038461121000011000000000U6,CARNICERIA BECERRIL,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,NINGUNO,,SN
2534937,15038461121000031000000000U4,CARNICERIA HERNANDEZ,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,NINGUNO,,SN
2466272,15038461121000021000000000U5,CARNICERIA LA ESCONDIDA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,NINGUNO,,SN
2534921,15038461121000041000000000U3,CARNICERIA LA SUPREMA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,AZUCENA,CALLE,PRESA ITURBIDE,CALLE,PRESA ITURBIDE,0,SN
2534979,15038461121000051000000000U2,CARNICERIA SIN NOMBRE,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,CONSTITUCION,CALLE,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,,SN
2534916,15038461130000071000000000U1,CHANGARRITO DE JENIFFER,,461130,Comercio al por menor de frutas y verduras frescas,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,CONSTITUCION,CERRADA,NINGUNO,CALLE,CALLE DEL ROSAL,,SN
2466361,15038463216000021010000000U1,DICONSA AURORA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,CALLE DEL TRABAJO,CALLE,ÁGUILAS,CALLE,CONDORES,CALLE,ÁGUILAS,0,SN
2535019,15038461160000021000000000U3,DULCERIA EL GLOBO AZUL,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,BUGAMBILIA,CALLE,AZUCENA,CALLE,20 DE NOVIEMBRE,,SN
2534990,15038461110000191010000000U9,DULCERIA EL TEJOCOTE,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,CALLE,CONSTITUCION,CALLE,16 DE SEPTIEMBRE,AVENIDA,MONTE ALTO,CALLE,FRESNO,,SN
2466247,15038461110000291010000000U7,DULCERIA ELI,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,CALLE,AVENIDA REVOLUCION,AVENIDA,MONTE ALTO,,SN
2466381,15038461160000061000000000U9,DULCERÍA EMILIANO,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,CALLE,CALLE DEL TRABAJO,CALLE,ÁGUILAS,CALLE,CONDORES,CALLE,ÁGUILAS,0,SN
2466423,15038461160000051000000000U0,DULCERÍA MUNDO DE CARAMELO,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,AZUCENA,PRIVADA,NINGUNO,CALLE,BUGAMBILIA,,SN
7245164,15038461160000081000000000U7,DULCERIA PRINCESS,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,CALLE,CONSTITUCION,CALLE,CALLE DEL ROSAL,AVENIDA,MONTE ALTO,CALLE,VOLETAS,,SN
7245174,15038461160000101000000000U3,DULCERIA SIN NOMBRE,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,CALLE,CALLE DEL ROSAL,CALLE,CONSTITUCION,CALLE,AZUCENA,AVENIDA,AVENIDA DE LAS FLORES,,SN
