ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
2534932,15038461110000341000000000U0,ABARROTERIA OSNAYA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,VOLETAS,CALLE,NINGUNO,,SN,,,,,COLONIA,MIRAFLORES,,,,54483,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,5,,,,Fijo,19.55782106,-99.41672206,2010-07
2534945,15038461121000011000000000U6,CARNICERIA BECERRIL,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,NINGUNO,,SN,,,,,COLONIA,MIRAFLORES,,,,54483,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,5,,,,Fijo,19.55757527,-99.41718628,2010-07
2534937,15038461121000031000000000U4,CARNICERIA HERNANDEZ,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,NINGUNO,,SN,,,,,COLONIA,MIRAFLORES,,,,54483,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,5,,,,Fijo,19.55759642,-99.41714713,2010-07
2466272,15038461121000021000000000U5,CARNICERIA LA ESCONDIDA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,PRIVADA,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,NINGUNO,,SN,,,,,COLONIA,MIRAFLORES,,,,54483,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,5,,,,Fijo,19.55758715,-99.41716776,2010-07
2534921,15038461121000041000000000U3,CARNICERIA LA SUPREMA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,AZUCENA,CALLE,PRESA ITURBIDE,CALLE,PRESA ITURBIDE,0,SN,,,0,,COLONIA,MIRAFLORES,,,,54880,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,8,,,,Fijo,19.55857859,-99.41557889,2010-07
2534979,15038461121000051000000000U2,CARNICERIA SIN NOMBRE,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,CONSTITUCION,CALLE,NINGUNO,CALLE,AVENIDA REVOLUCION,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,,SN,,,,,COLONIA,LAURELES,,,,54480,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,30,,,,Fijo,19.55549803,-99.41775296,2010-07
2534916,15038461130000071000000000U1,CHANGARRITO DE JENIFFER,,461130,Comercio al por menor de frutas y verduras frescas,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,CONSTITUCION,CERRADA,NINGUNO,CALLE,CALLE DEL ROSAL,,SN,,,,,COLONIA,MIRAFLORES,,,,54483,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,7,,,,Fijo,19.55834291,-99.41571503,2010-07
2466361,15038463216000021010000000U1,DICONSA AURORA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,CALLE DEL TRABAJO,CALLE,ÁGUILAS,CALLE,CONDORES,CALLE,ÁGUILAS,0,SN,MERCADO PUBLICO,PLANTA BAJA,63,,COLONIA,AURORA,MERCADO PUBLICO,MERCADO BICENTENARIO,1,54485,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,19,5531469970,,,Fijo,19.5582009,-99.41989018,2014-12
2535019,15038461160000021000000000U3,DULCERIA EL GLOBO AZUL,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,BUGAMBILIA,CALLE,AZUCENA,CALLE,20 DE NOVIEMBRE,,SN,,,,,COLONIA,MIRAFLORES,,,,54483,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,10,,,,Fijo,19.5608953,-99.41474941,2010-07
2534990,15038461110000191010000000U9,DULCERIA EL TEJOCOTE,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,CALLE,CONSTITUCION,CALLE,16 DE SEPTIEMBRE,AVENIDA,MONTE ALTO,CALLE,FRESNO,,SN,,,,,COLONIA,LAURELES,,,,54480,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,3,,,,Fijo,19.55547864,-99.41926467,2010-07
2466247,15038461110000291010000000U7,DULCERIA ELI,,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,AVENIDA,MONTE ALTO,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,CALLE,AVENIDA REVOLUCION,AVENIDA,MONTE ALTO,,SN,,,,,COLONIA,TLAZALA DE FABELA,,,,54480,15,MÉXICO                      ,38,Isidro Fabela,1,Tlazala de Fabela,38,24,,,,Fijo,19.55667285,-99.41843657,2014-12
