Latitud,Longitud
19.55782106,-99.41672206
19.55757527,-99.41718628
19.55759642,-99.41714713
19.55758715,-99.41716776
19.55857859,-99.41557889
19.55549803,-99.41775296
19.55834291,-99.41571503
19.5582009,-99.41989018
19.5608953,-99.41474941
19.55547864,-99.41926467
19.55667285,-99.41843657
19.55820074,-99.41989039
19.55955644,-99.41476124
19.55829059,-99.41533711
19.55819436,-99.41517256
19.55826644,-99.4158921
19.55767227,-99.41507389
19.55843033,-99.41551259
19.55786475,-99.41706494
19.55562718,-99.41669368
19.5577011,-99.41693253
19.55508432,-99.42139334
19.55710003,-99.41755948
19.557764,-99.41724006
19.56209512,-99.40998442
19.55552842,-99.41805619
19.5624958,-99.40938065
19.55505593,-99.42110811
19.55595648,-99.41915572
19.55742242,-99.41517284
19.55773522,-99.41507118
19.55852744,-99.41568673
19.55529237,-99.42055429
19.55543907,-99.41954075
19.56159778,-99.41403102
19.55667374,-99.41764364
19.55437344,-99.4147356
19.55912809,-99.41489306
19.5585064,-99.41573472
19.55404956,-99.42472199
19.55311428,-99.41514738
19.55810767,-99.41664127
19.55941669,-99.41477859
19.55780581,-99.41716736
19.55750782,-99.41732691
19.55854792,-99.41545306
19.5555412,-99.41911932
19.55547567,-99.41977108
19.55713084,-99.41755313
19.55740322,-99.41744458
19.55822726,-99.4165588
19.55717948,-99.41754309
19.55793417,-99.41694428
19.55792891,-99.41695343
19.55850462,-99.41573885
19.55749081,-99.41734998
19.55870016,-99.41527853
19.55751987,-99.41729359
19.55561846,-99.4167786
19.55821801,-99.41986814
19.55843131,-99.41488968
19.55594881,-99.41198431
19.55381646,-99.42316174
19.55567943,-99.41412207
19.55650613,-99.42175257
19.55663201,-99.41868282
19.55681593,-99.42126498
19.55357532,-99.41520388
19.55533496,-99.42037232
19.55669991,-99.41841447
19.55778477,-99.4167781
